-1,0,-2,-17,-12,1,2,3
-1,-4,2,16,3,-4,-4,-1
1,4,0,2,10,-2,1,3
-2,-1,-2,-7,-21,-2,-4,-3
-5,-2,0,5,10,-2,-1,-4
1,1,-1,-7,-5,1,1,2
-2,-3,-3,-2,-8,-3,-4,2
-1,-2,0,1,-2,0,6,-5
-1,-1,0,-1,0,1,0,1
-1,-1,0,-2,2,-1,-3,0
0,-3,-1,0,-1,-3,-5,1
-3,0,-2,-10,-35,-9,-8,-3
-1,1,1,7,14,0,3,-2
-2,-1,0,-1,3,2,-3,-1
-2,-2,-4,-8,-15,0,1,-8
4,-3,-1,-1,19,-1,5,19
-2,-2,-2,-1,-4,0,-3,-6
-2,2,0,-4,-7,-2,-1,0
0,0,3,5,3,1,0,0
-2,-2,-2,-1,-1,-1,-3,-5
-2,1,-1,-2,-1,-2,-1,2
2,1,0,-2,-3,3,5,1
2,-3,1,-2,-5,-3,6,7
-4,0,-1,0,2,-1,-5,-3
1,-1,0,-1,-1,-1,-2,-6
-3,-1,-2,0,1,-4,-10,-6
0,-2,-1,-4,-8,3,1,5
-1,0,2,4,5,5,12,-6
-2,-1,-2,-4,-2,-2,-6,-6
1,0,0,2,12,-1,3,6
-2,-1,0,-2,-15,-2,-7,-8
-4,0,1,0,-2,-3,-6,-5
2,-1,-4,-1,13,2,2,0
-1,-1,-2,-1,5,0,0,3
1,1,2,5,-6,-2,-3,0
-1,-1,-2,-2,0,0,-1,-3
0,-2,1,0,-9,-1,2,0
-2,0,0,-1,2,0,-2,-1
0,0,-1,-3,3,1,2,-1
-2,-1,-1,4,-3,2,2,-2
0,-1,-2,-1,12,4,-1,3
0,-5,-2,-11,-15,-6,-6,-1
-1,-1,-2,12,1,5,1,-2
2,0,0,-2,14,-1,-1,0
-1,0,-3,0,-8,-1,-2,-1
-2,-2,-2,-7,-7,0,1,2
-1,-2,1,6,-5,-4,0,-3
1,0,0,2,2,1,0,3
-2,-1,0,1,0,-3,-3,-2
0,0,-1,-4,-8,-4,-3,-2
-2,-2,-1,-5,4,-1,-4,-1
-2,-2,-2,-1,-4,0,-4,2
